classifier_name,dataset_name,accuracy
FCN10-logistic_average,mote_strain,0.95
FCN10-logistic_average,power_cons,0.5
FCN10-logistic_average,sony_robot,0.9
FCN10-logistic_average,synthetic_control,0.043333333333333335
FCN10-logistic_average_with_confidence,cricket_y,0.5051282051282051
FCN10-logistic_average_with_confidence,distal_phalanax_tw,0.6906474820143885
FCN10-logistic_average_with_confidence,egg_five_days,0.9565217391304348
FCN10-logistic_average_with_confidence,face_ucr,0.9014634146341464
FCN10-logistic_average_with_confidence,fifty_words,0.34065934065934067
FCN10-logistic_average_with_confidence,mote_strain,0.95
FCN10-logistic_average_with_confidence,power_cons,0.5
FCN10-logistic_average_with_confidence,sony_robot,0.9
FCN10-logistic_average_with_confidence,synthetic_control,0.043333333333333335
FCN10-majority_vote,cricket_y,0.5102564102564102
FCN10-majority_vote,distal_phalanax_tw,0.6834532374100719
FCN10-majority_vote,egg_five_days,0.9565217391304348
FCN10-majority_vote,face_ucr,0.8936585365853659
FCN10-majority_vote,fifty_words,0.33406593406593404
FCN10-majority_vote,mote_strain,0.95
FCN10-majority_vote,power_cons,0.5611111111111111
FCN10-majority_vote,sony_robot,0.9
FCN10-majority_vote,synthetic_control,0.06333333333333334
MCDCNN10-average,cricket_y,0.5102564102564102
MCDCNN10-average,distal_phalanax_tw,0.6690647482014388
MCDCNN10-average,egg_five_days,1.0
MCDCNN10-average,face_ucr,0.7185365853658536
MCDCNN10-average,fifty_words,0.6395604395604395
MCDCNN10-average,mote_strain,0.85
MCDCNN10-average,power_cons,0.9722222222222222
MCDCNN10-average,sony_robot,0.9
MCDCNN10-average,synthetic_control,0.7566666666666667
MCDCNN10-average_with_confidence,cricket_y,0.5128205128205128
MCDCNN10-average_with_confidence,distal_phalanax_tw,0.6690647482014388
MCDCNN10-average_with_confidence,egg_five_days,1.0
MCDCNN10-average_with_confidence,face_ucr,0.7175609756097561
MCDCNN10-average_with_confidence,fifty_words,0.6373626373626373
MCDCNN10-average_with_confidence,mote_strain,0.85
MCDCNN10-average_with_confidence,power_cons,0.9722222222222222
MCDCNN10-average_with_confidence,sony_robot,0.9
MCDCNN10-average_with_confidence,synthetic_control,0.7566666666666667
MCDCNN10-logistic_average,cricket_y,0.5102564102564102
MCDCNN10-logistic_average,distal_phalanax_tw,0.6690647482014388
MCDCNN10-logistic_average,egg_five_days,1.0
MCDCNN10-logistic_average,face_ucr,0.7190243902439024
MCDCNN10-logistic_average,fifty_words,0.6395604395604395
MCDCNN10-logistic_average,mote_strain,0.85
MCDCNN10-logistic_average,power_cons,0.9722222222222222
MCDCNN10-logistic_average,sony_robot,0.9
MCDCNN10-logistic_average,synthetic_control,0.7533333333333333
MCDCNN10-logistic_average_with_confidence,cricket_y,0.5102564102564102
